,Game Name,Developer,Genre,Rating,Ratings Count,Reviews,Installs,Real Installs,Price,Free,Content Rating,Released,Updated,Version,Developer Website
0,The Eminence in Shadow RPG,"Crunchyroll Games, LLC",Role Playing,4.3586097,37472.0,3017.0,"1,000,000+",1719752,0.0,True,Teen,"Nov 29, 2022",1782341824.0,4.9.0,https://www.crunchyroll.com/games/eminenceinshadow/index.html
1,Quiz Blitz: Test Brain Game,Quiz & Trivia Games by Mno Go Apps,Trivia,4.8140845,37460.0,310.0,"500,000+",505749,0.0,True,Everyone,"May 1, 2026",1778244916.0,2.8.035,https://quizblitz.mnogoteams.com/
2,Disney Speedstorm,Gameloft SE,Racing,4.1526585,42165.0,1589.0,"1,000,000+",4828185,0.0,True,Everyone,"Jul 11, 2024",1780416212.0,1.19.0d,http://www.gameloft.com/
3,Alto's Odyssey,Noodlecake,Action,4.549542,285231.0,9249.0,"10,000,000+",29405049,0.0,True,Everyone,"Jul 25, 2018",1760636395.0,1.0.42,http://www.noodlecake.com/games/altos-odyssey/
4,Battle Bag: War Zone,VOODOO,Strategy,3.9685535,12317.0,544.0,"1,000,000+",2654797,0.0,True,Everyone 10+,"Apr 25, 2025",1781114388.0,1.90.61,https://www.voodoo.io/
5,Google Play Games,Google LLC,Entertainment,3.9483151,13180652.0,201529.0,"5,000,000,000+",6094258292,0.0,True,Teen,"Jul 24, 2013",1778145342.0,Varies with device,http://play.google.com/store/apps/category/GAME
6,The Castles Of Burgundy,DIGIDICED,Board,4.29,575.0,72.0,"10,000+",22332,9.99,False,Everyone,"Feb 27, 2019",1768990602.0,111,http://www.digidiced.com
7,Asphalt Legends - Racing Game,Gameloft SE,Racing,4.351516,2855866.0,71750.0,"100,000,000+",163929700,0.0,True,Everyone 10+,"Jul 25, 2018",1781617433.0,Varies with device,http://www.gameloft.com/
8,CSR 2 Realistic Drag Racing,Zynga,Racing,4.636288,5305181.0,656896.0,"50,000,000+",79774968,0.0,True,Teen,"Jun 29, 2016",1783337135.0,6.5.2,https://www.zynga.com/
9,Just Dance Now,Ubisoft Entertainment,Music,3.8622425,1148044.0,42990.0,"50,000,000+",61744045,0.0,True,Everyone 10+,"Sep 24, 2014",1781489191.0,9.4.0,http://www.justdancenow.com/
10,Duet Cats: Music & Meow Game,AMANOTES PTE. LTD.,Casual,4.4416356,102973.0,6106.0,"50,000,000+",56188540,0.0,True,Everyone,"Nov 16, 2022",1783036050.0,2.0.02,https://amanotes.com/
11,Flower Forest - Word Puzzle,SkySoft Studio,Puzzle,4.4304934,66693.0,397.0,"1,000,000+",4018019,0.0,True,Everyone,"May 3, 2026",1783076936.0,0.8.0,https://cellsoft.vn/
12,MadOut 2: Grand Auto Racing,MadOut Games LLC FZ,Racing,4.213592,1181487.0,11868.0,"100,000,000+",146235238,0.0,True,Mature 17+,"May 1, 2017",1783068357.0,20.20,http://madoutgames.com/
13,Hi Beatz: Music & Rhythm Game,Fun Tap X,Music,4.630137,5017.0,560.0,"100,000+",183303,0.0,True,Teen,"Nov 27, 2025",1776772367.0,0.2.0,https://www.funtapx.com/
14,Payback 2 - The Battle Sandbox,Apex Designs Games LLP,Arcade,4.526305,2249838.0,28700.0,"100,000,000+",392786460,0.0,True,Teen,"Oct 10, 2014",1756310485.0,2.106.16,http://www.apex-designs.net
15,Tongits Zingplay - Card Game,VNG ZingPlay Studio,Card,3.93,100104.0,50.0,"10,000,000+",16450859,0.0,True,Teen,"May 19, 2022",1781682285.0,4.27,https://www.facebook.com/tongits.zingplay.ph/
16,Royal Kingdom,"Dream Games, Ltd.",Puzzle,4.613334,2400199.0,25400.0,"50,000,000+",95670914,0.0,True,Everyone,"Nov 20, 2024",1782489265.0,31286,https://www.dreamgames.com
17,PlayJoy - Multiplayer games,PlayJoy Games,Board,4.22,22285.0,85.0,"1,000,000+",2704883,0.0,True,Teen,"May 21, 2019",1783078751.0,2.11.0,https://playjoy.com/
18,Paradigm: Reboot,TunerGames,Music,4.154762,1159.0,38.0,"100,000+",125398,0.0,True,Teen,"Dec 16, 2022",1781641020.0,4.8,https://paradigm.tunergames.com
19,Retro Bowl,New Star Games Ltd,Sports,4.58087,509125.0,171993.0,"5,000,000+",9844022,0.0,True,Everyone,"Jan 17, 2020",1779271880.0,1.6.46,http://www.newstargames.com
20,Plants vs. Zombies™ 2,ELECTRONIC ARTS,Casual,3.7559364,671892.0,200611.0,"10,000,000+",27551915,0.0,True,Everyone,"Oct 10, 2013",1779935317.0,13.2.1,http://ea.com/android
21,Cyberika: Action Cyberpunk RPG,Brickworks Games Ltd,Role Playing,4.5271583,224112.0,4187.0,"10,000,000+",18557271,0.0,True,Teen,"Apr 5, 2021",1773740420.0,2.5.2-rc900,http://cyberika.online
22,Beach Buggy Racing,Vector Unit,Racing,4.510064,3012221.0,35161.0,"100,000,000+",356440042,0.0,True,Everyone,"Sep 16, 2014",1779138148.0,2026.05.18,http://www.vectorunit.com
23,Rainbow Six Mobile,Ubisoft Nova,Action,4.516879,122898.0,4237.0,"10,000,000+",13569522,0.0,True,Teen,"Feb 23, 2026",1780001811.0,2.1.100,https://ubisoft-mobile.helpshift.com/hc/app/45-rainbow-six-mobile/
24,World Cricket League T20 2026,Route Games LTD,Sports,,,,"100,000+",389138,0.0,True,Teen,,,Varies with device,https://routegameltd.blogspot.com
25,TRIVIA STAR Quiz Games Offline,Super Free,Trivia,4.770235,396919.0,47156.0,"10,000,000+",31850460,0.0,True,Everyone,"Mar 3, 2020",1781491995.0,1.413,https://superfree.com/
26,Last Day on Earth: Survival,KEFIR,Action,4.3552213,4750259.0,177210.0,"100,000,000+",138910225,0.0,True,Teen,"May 24, 2017",1781868763.0,1.49.5,https://www.kefircyprus.com/
27,Montadinhas do Grau,PH_Games,Racing,4.7777777,7830.0,2.0,"1,000,000+",1823028,0.0,True,Everyone,"Jan 7, 2025",1781557148.0,0.8,https://ea031c9b3.app-ads-txt.org
28,Candy Crush Soda Saga,King,Casual,4.57846,8865659.0,390522.0,"500,000,000+",617948024,0.0,True,Everyone,"Nov 11, 2014",1783090886.0,1.321.2,http://candycrushsodasaga.com
29,Piano Evo: Learn Songs & Music,GMobiler Apps,Music,4.75,312.0,3.0,"50,000+",76752,0.0,True,Everyone,"Apr 26, 2026",1779170081.0,1.0.2,https://gmobilerapps.com/
30,Astonishing Basketball Manager,Studio Zero Games,Sports,4.5446925,11954.0,1011.0,"500,000+",975748,0.0,True,Everyone,"Dec 13, 2020",1782654338.0,6.4.32,https://astonishing-sports.app/
31,Tennis Clash: Multiplayer Game,Wildlife Studios,Sports,4.619792,2276595.0,33704.0,"100,000,000+",166336641,0.0,True,Everyone,"Oct 23, 2019",1783110410.0,6.35.0,https://www.wildlifestudios.com/
32,Mountain Bike Xtreme,Pixel Joy,Racing,4.2706766,67573.0,633.0,"10,000,000+",42952616,0.0,True,Everyone,"Mar 31, 2018",1775559689.0,2.3,
33,The Walking Zombie 2: Shooter,Alda Games,Action,4.422409,1577503.0,33357.0,"50,000,000+",95766393,0.0,True,Teen,"Jun 27, 2019",1780484723.0,Varies with device,http://aldagames.com
34,EA SPORTS™ NBA LIVE Mobile,ELECTRONIC ARTS,Sports,4.138994,2613254.0,252626.0,"100,000,000+",156511123,0.0,True,Everyone,"Jul 5, 2016",1777399515.0,10.01.02,http://www.ea.com/android
35,War Sniper: FPS Shooting Game,Mobile Gaming Studios Ltd.,Action,4.8302994,613370.0,5633.0,"10,000,000+",38085841,0.0,True,Teen,"Feb 26, 2024",1783352298.0,500204,https://www.miniclip.com/
36,Stick War: Legacy,Max Games Studios,Strategy,4.802316,3157866.0,67684.0,"100,000,000+",337647296,0.0,True,Teen,"Jan 31, 2016",1777761167.0,2026.1.787,http://www.maxgames.com
37,Kahoot! Play & Create Quizzes,Kahoot!,Education,4.740363,855178.0,15625.0,"50,000,000+",98644097,0.0,True,Everyone,"Nov 1, 2012",1781789951.0,6.6.7,https://kahoot.com
38,88 Fortunes™ Casino Slot Games,SciPlay,Casino,4.4452696,296742.0,36668.0,"5,000,000+",9748263,0.0,True,Teen,"Mar 22, 2017",1782923521.0,4.30.00,https://www.sciplay.com/
39,Khan Academy Kids,Khan Academy,Education,4.6035066,55853.0,6342.0,"10,000,000+",11456077,0.0,True,Everyone,"Jul 10, 2018",1777694636.0,8.1.6,https://www.khanacademy.org/kids
40,Motor World: Bike Factory,Oh BiBi,Racing,4.1948423,30050.0,1336.0,"1,000,000+",2981490,0.0,True,Everyone,"Jul 8, 2016",1709069993.0,1.328,https://www.ohbibi.com
41,Slots Era - Jackpot Slots Game,Murka Games Limited,Casino,4.555961,773497.0,132314.0,"10,000,000+",13234522,0.0,True,Teen,"Nov 5, 2016",1782915689.0,2.76.0,https://murka.com
42,Ludo Go: Online Board Game,Comfun,Board,4.4,13823.0,32.0,"5,000,000+",9675186,0.0,True,Everyone,"Dec 15, 2023",1782957283.0,1.0.20260521,https://www.comfun.com/
43,TRIVIA 360: Quiz Game,Smart Owl Apps,Trivia,4.4377084,125756.0,4439.0,"10,000,000+",11194356,0.0,True,Everyone,"Jun 3, 2016",1761591331.0,2.5.0,http://www.owlgames.co/
44,Remixlive - Make Music & Beats,MIXVIBES,Music & Audio,4.381837,77015.0,4759.0,"10,000,000+",21896381,0.0,True,Everyone,"Oct 26, 2016",1778076365.0,8.6.2,http://www.mixvibes.com
45,SIEGE: World War II,Imperia Online JSC,Strategy,4.5376077,76457.0,3505.0,"5,000,000+",6778575,0.0,True,Everyone 10+,"Nov 20, 2018",1782455091.0,6.8.0,http://siegeworldwarii.com
46,Cross World: Word Riddles,Quiz & Trivia Games by Mno Go Apps,Word,4.8085938,27352.0,123.0,"100,000+",483001,0.0,True,Everyone,"Mar 11, 2026",1781010794.0,2.10.012,https://crossworld.mnogoteams.com/
47,Chess - Play and Learn Online,Chess.com,Board,4.6958,3245933.0,45583.0,"100,000,000+",139716641,0.0,True,Everyone,"Feb 1, 2010",1782924444.0,4.9.49-googleplay,https://www.chess.com/
48,AMUSEMENT ARCADE TOAPLAN,"TATSUJIN Co., Ltd.",Arcade,3.4375,144.0,8.0,"10,000+",48875,0.0,True,Teen,"Nov 7, 2024",1761265499.0,1.0.8,https://aat.tatsujin.tokyo/
49,Shadow Fight 4: Arena,NEKKI,Role Playing,4.685253,1837867.0,14199.0,"50,000,000+",90744651,0.0,True,Teen,"Nov 3, 2020",1783358597.0,1.9.80,http://www.nekki.com
50,Animation Throwdown: Epic CCG,Kongregate,Adventure,4.494956,582609.0,95563.0,"10,000,000+",15098312,0.0,True,Teen,"Sep 13, 2016",1782513935.0,1.178.0,https://www.animationthrowdowngame.com/
51,Clash of Critters,FARLIGHT,Casual,4.4556804,31208.0,3245.0,"1,000,000+",2812011,0.0,True,Everyone 10+,"May 16, 2026",1782811371.0,0.42.1,
52,Farm Heroes Saga,King,Casual,4.6390486,9850032.0,432534.0,"100,000,000+",429434863,0.0,True,Everyone,"Dec 10, 2013",1783328762.0,6.93.13,https://farmheroessaga.com
53,Simply Piano: Learn Piano Fast,Simply Ltd,Education,4.6321063,973318.0,37744.0,"50,000,000+",90351198,0.0,True,Everyone,"Feb 22, 2017",1782310486.0,7.31.6,https://www.hellosimply.com
54,HATSUNE MIKU: COLORFUL STAGE!,SEGA CORPORATION,Music,4.4707904,159705.0,9896.0,"10,000,000+",14706992,0.0,True,Everyone,"Dec 6, 2021",1782206199.0,5.4.0,https://www.colorfulstage.com/
55,Rebel Racing,Hutch Games,Racing,4.498787,753611.0,26045.0,"50,000,000+",72843448,0.0,True,Everyone,"Nov 5, 2019",1781716715.0,27.04.19313,https://www.hutch.io
56,DRAGON BALL Z DOKKAN BATTLE,Bandai Namco Entertainment Inc.,Action,4.573431,1295131.0,131543.0,"50,000,000+",91669273,0.0,True,Teen,"Jul 15, 2015",1782118748.0,6.4.0,https://www.bandainamcoent.co.jp/english/
57,Beach Buggy Racing 2,Vector Unit,Racing,4.487957,904750.0,10976.0,"100,000,000+",107516224,0.0,True,Everyone,"Dec 18, 2018",1779843178.0,2026.05.21,https://www.vectorunit.com
58,Among Us,Innersloth LLC,Action,3.9138846,13623412.0,528631.0,"500,000,000+",782248299,0.0,True,Everyone 10+,"Jun 15, 2018",1779305239.0,2026.6.5,https://www.innersloth.com
59,Shadow of Death: Offline Games,Brave HK Limited,Action,4.7321887,561532.0,13514.0,"10,000,000+",49385090,0.0,True,Teen,"Sep 11, 2017",1779698669.0,1.111.0.8,https://bravehk.com
60,New Star™ Soccer,New Star Publishing Ltd.,Sports,4.4400344,2340409.0,40981.0,"10,000,000+",32888109,0.0,True,Teen,"Mar 6, 2012",1764972451.0,4.32,http://www.newstargames.com
61,Hill Climb Racing 2,Fingersoft,Racing,4.4686446,4703830.0,146969.0,"100,000,000+",439573543,0.0,True,Everyone,"Nov 27, 2016",1782197244.0,1.73.5,https://www.fingersoft.com
62,Sonic Forces: PvP Race,SEGA,Adventure,4.4642124,1079525.0,65400.0,"100,000,000+",180000223,0.0,True,Everyone,"Nov 15, 2017",1782468850.0,7.2.0,http://www.sega.com
63,8 Ball Pool,Miniclip.com,Sports,4.7945313,31478109.0,983085.0,"1,000,000,000+",1318286738,0.0,True,Everyone,"Jan 23, 2013",1782805024.0,56.26.2,https://www.miniclip.com/
64,Football Strike: Online Soccer,Miniclip.com,Sports,4.747643,3668422.0,33133.0,"100,000,000+",329532910,0.0,True,Everyone,"Sep 13, 2017",1781536694.0,1.61.1,https://www.miniclip.com/
65,Gravity Rider: Space Bike Race,Vivid Games S.A.,Racing,4.4845996,113202.0,1632.0,"10,000,000+",38768263,0.0,True,Everyone,"Aug 12, 2018",1758104416.0,1.20.9,http://www.vividgames.com
66,1942 - Classic shooting games,FALCON GAME,Arcade,4.63914,87053.0,5862.0,"10,000,000+",12190987,0.0,True,Everyone,"Mar 8, 2018",1773919827.0,Varies with device,https://falcongames.com/
67,Outlaw Riders: Biker Wars,Bad Santas Inc.,Action,4.282799,16423.0,536.0,"500,000+",625422,0.0,True,Teen,"Oct 26, 2020",1776451778.0,0.5.8,
68,Evermore Arcade,Evermore Games LLC,Arcade,2.4951456,410.0,207.0,"50,000+",64777,0.0,True,Mature 17+,"Jan 4, 2026",1782927824.0,2.1.0,https://evermoregamesllc.com/
69,QuizDuel! Quiz & Trivia Game,MAG Interactive,Trivia,3.49,115976.0,201.0,"10,000,000+",11379468,0.0,True,Everyone,"Feb 27, 2020",1782986074.0,1.67.10,https://www.maginteractive.com/
70,Mob Control,VOODOO,Arcade,4.3455696,931268.0,41088.0,"100,000,000+",265756052,0.0,True,Everyone,"Apr 29, 2021",1782905413.0,3.18.4,https://www.voodoo.io/
71,OG Arcade - 150+ Retro Games,UserLAnd Technologies,Arcade,3.8536584,64.0,31.0,500+,950,4.99,False,Teen,"Aug 27, 2024",1764979083.0,25.12.05,https://userland.tech
72,World War 2－FPS Shooting Games,Edkon Games GmbH,Action,4.38041,557611.0,8544.0,"50,000,000+",70275798,0.0,True,Teen,"Apr 5, 2021",1782835987.0,5.03,http://www.edkongames.com/
73,Car games for kids & toddlers,Amaya Kids - learning games for 3-5 years old,Educational,3.82,7371.0,186.0,"10,000,000+",10589114,0.0,True,Everyone,"Dec 6, 2018",1782806538.0,2.31.0,https://amayakids.com
74,Glory of Generals 3 - WW2 SLG,EasyTech Games,Strategy,4.462963,31738.0,693.0,"1,000,000+",1670907,0.0,True,Everyone 10+,"Nov 18, 2020",1754360296.0,1.7.10,http://www.ieasytech.com/
75,Pokémon GO,"Niantic, Inc.",Adventure,3.6734664,15375006.0,996464.0,"500,000,000+",557212478,0.0,True,Everyone,"Jul 6, 2016",1782949316.0,0.417.2,http://pokemongo.nianticlabs.com/
76,Word Search Explorer,PlaySimple Games,Word,4.903982,1184032.0,22100.0,"50,000,000+",98829355,0.0,True,Everyone,"Nov 19, 2021",1781097747.0,1.280.1,https://playsimple.in
77,Zooba: Fun Battle Royale Games,Wildlife Studios,Action,4.6209884,1653964.0,30749.0,"100,000,000+",142101244,0.0,True,Everyone 10+,"Oct 2, 2019",1782770677.0,6.21.0,https://www.wildlifestudios.com/
78,GT Manager,The Tiny Digital Factory,Racing,4.368421,42491.0,806.0,"1,000,000+",3009979,0.0,True,Everyone,"Mar 18, 2021",1782994237.0,1.100.2,https://gtmanagermobile.com/
79,Clash Royale,Supercell,Strategy,4.469771,41519582.0,970598.0,"500,000,000+",627171704,0.0,True,Everyone 10+,"Mar 1, 2016",1782819349.0,150535020,https://help.supercellsupport.com/clash-royale/en/
80,Toon Blast,Peak,Puzzle,4.6344185,4605540.0,390272.0,"100,000,000+",130641142,0.0,True,Everyone,"Aug 25, 2017",1783089428.0,23027,https://peak.com/support/toonblast
81,Drive Zone: Car Simulator Game,Jet Games FZ-LLC,Racing,4.347826,252895.0,4807.0,"100,000,000+",105088118,0.0,True,Everyone,"Nov 30, 2023",1783074189.0,1.10.2,http://jetgamesdev.com/
82,Pixel Car Racer,Studio Furukawa,Racing,4.4766865,381845.0,25124.0,"10,000,000+",45595488,0.0,True,Everyone,"Jul 22, 2016",1707498101.0,1.2.5,http://www.pixelcarracer.com
83,Jetpack Joyride Classic,Halfbrick Studios,Arcade,2.74,3233.0,201.0,"1,000,000+",1092705,0.0,True,Everyone 10+,"Oct 17, 2023",1772404227.0,1.2.20,http://www.halfbrick.com/our-games/jetpack-joyride/
84,Mini Militia - War.io,Miniclip.com,Action,4.1904254,3976453.0,14313.0,"100,000,000+",307277082,0.0,True,Teen,"Mar 13, 2015",1725879002.0,5.6.0,https://www.miniclip.com/
85,Wordscapes: Word puzzle game,PeopleFun,Word,4.5858445,1408913.0,267035.0,"100,000,000+",129566096,0.0,True,Everyone,"Jun 14, 2017",1783018171.0,3.12.51,https://www.peoplefun.com
86,Worms Zone .io - Hungry Snake,CASUAL AZUR GAMES,Action,4.292371,3207221.0,7884.0,"500,000,000+",667675233,0.0,True,Everyone,"Apr 2, 2018",1782302404.0,Varies with device,https://aigames.ae/
